Semester( number like: 1st, 2nd...);Age( Years: 18, 19....);Height( inches like:1 feet);Weight:( in kg);Gender;Religion;Permanent Residence;Current Residence;Family Type;Number of siblings (numbers: 1, 2...);Father's Occupation;Mother's Occupation;Do you think your family environment is friendly?;Academic performance(CGPA like: 3.5.....);Daily average study hour;Daily social media uses hours;Relationship Status;Smoking status;Do you perform religious practice regularly?;How much satisfied with your academic activities(i,e...Presentations, Assignments, Tutorials..);Do you do any extra curricular activities?;If yes what are that...;Do you feel that in the aspect of career building your subject has adequate opportunity in our country?;Do your think your subject- related job gets enough social value in our country ;Have you ever thought about or attempted to kill yourself?;How often have you thought about killing yourself in the past year?;Have you ever told someone that you were going to commit suicide, or that you might do it?;How likely is it that you will attempt suicide someday?;How SATISFIED/dissatisfied are you with your current sleep pattern?;To what extent do you consider your sleep problem to INTERFERE with your daily functioning (e.g. daytime fatigue, ability to function at work/daily chores, concentration, memory, mood, etc.).;How NOTICEABLE to others do you think your sleeping problem is in terms of impairing the quality of your life?;How WORRIED/distressed are you about your current sleep problem?;I found it hard to wind down;"
 I was aware of the dryness of my mouth";"
I couldn’t seem to experience any positive feelings at all";"
 I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)";"
 I found it difficult to work up the initiative to do things"; I tended to over-react to situations;"
I experienced trembling (e.g. in the hands)";"
I felt that I was using a lot of nervous energy";I was worried about situations in which I might panic and make a fool of myself;I felt that I had nothing to look forward to;I found myself getting agitated; I found it difficult to relax;"
 I felt down-hearted and blue";I was intolerant of anything that kept me from getting on with what I was doing;I felt I was close to panic; I was unable to become enthusiastic about anything; I felt I wasn’t worth much as a person; I felt that I was rather touchy; I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat); I felt scared without any good reason;I felt that life was meaningless
2nd;21;1.56 feet;58 kg;Female;Islam;Rural;Rented House or Mess;Nuclear;2;Service Holder;House Wife;Strongly-agree;3,89;1-3 hours;1-3 hours;Single;No;Regularly;No;No;not involved ;Agree;Agree;Never;Never;No;Never;Satisfied;A little;Barely;Not at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
2nd;21;5,4;58;Female;Islam;Urban;Rented House or Mess;Nuclear;1;Service Holder;House Wife;Neural;3,2;1-3 hours;1-3 hours;Single;No;Regularly;yes;No;No;Agree;Agree;Never;Never;No;Never;Very Dissatisfied;Much;Much;Much;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
2nd;20;5 feet 2 inch;47;Male;Islam;Urban;Rented House or Mess;Nuclear;1;Farmer;House Wife;Agree;3,78;4-6 hours;1-3 hours;Single;No;Regularly;yes;No;None;Neutral;Neutral;It was just a brief passing thought;Sometimes (2 times);No;No chance at all;Moderately Satisfied;A little;Somewhat;Somewhat;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time
2nd;21;"5'5""";64;Female;Islam;Rural;Rented House or Mess;Join or Extended;2;Others;House Wife;Neural;4;1-3 hours;1-3 hours;Single;No;Regularly;yes;No;No I don't do any extra curriculum activities ;Agree;Agree;Never;Never;No;No chance at all;Dissatisfied;Much;Barely;Barely;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all
1 st;21;5 feet,6 inches;50;Male;Islam;Rural;Rented House or Mess;Nuclear;1;Service Holder;House Wife;Agree;4;1-3 hours;1-3 hours;Single;No;Regularly;No;No;No;Agree;Agree;It was just a brief passing thought;Rarely (1 time);No;Never;Dissatisfied;Somewhat;Somewhat;Barely;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time
5th;21;"5'2""";58;Female;Islam;Urban;Own House;Nuclear;1;Service Holder;House Wife;Neural;3,64;1-3 hours;1-3 hours;Single;No;Offen;No;No;Volunteering, singing and riding ;Neutral;Neutral;Never;Never;No;Never;Dissatisfied;A little;Barely;Barely;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all
4th;22;4 feet 11 inch;45;Female;Hindu;Urban;Rented House or Mess;Nuclear;1;Business;House Wife;Strongly-agree;3,59;1-3 hours;1-3 hours;Single;No;Offen;No;No;No I don’t get time for everyday 5 or 6 classes that’s why I can not do any curricular activities.;Neutral;Neutral;Never;Never;No;No chance at all;Very Satisfied;A little;Barely;Barely;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
6 th;22;5 fit 11 inc;68 kg;Male;Islam;Rural;Rented House or Mess;Join or Extended;9;Business;House Wife;Strongly-agree;3,2;1-3 hours;1-3 hours;Single;No;Regularly;yes;yes;TA (Teaching Assistant ) ;Agree;Neutral;Never;Never;No;Never;Moderately Satisfied;A little;Much;Somewhat;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
2nd;20;"5"" 6'";72 kg;Male;Islam;Urban;Rented House or Mess;Nuclear;3;Business;Service Holder;Agree;SGPA 3.35;4-6 hours;1-3 hours;Single;No;Offen;No;No;Animation ;Neutral;dis-agree;Never;Never;No;Never;Dissatisfied;Much;Barely;Somewhat;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time
7th;24;5 feet 8 inches;65kg;Male;Islam;Urban;Rented House or Mess;Join or Extended;1;Business;Service Holder;Strongly-agree;3,25;4-6 hours;1-3 hours;Single;No;Offen;yes;yes;Good ;Neutral;Neutral;Never;Never;No;Never;Satisfied;A little;Not at all Noticeable;Not at all;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Did not apply to me at all
13;22;5;77;Male;Islam;Rural;Own House;Join or Extended;2;Business;House Wife;Strongly-agree;2,6;1-3 hours;>=9 hours;Married;Yes;Offen;No;No;N/A;Agree;Strongly-agree;Never;Never;No;Never;Very Dissatisfied;Very Much Interfering;Very Much Noticeable;Much;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Applied to me very much or most of the time
7th;23;5 feet 3.5 inch;56;Female;Islam;Urban;Own House;Nuclear;1;Others;House Wife;Neural;3,33;1-3 hours;1-3 hours;Single;No;Regularly;No;No;no;Agree;Neutral;Never;Never;No;Never;Dissatisfied;Much;Barely;Somewhat;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
5th;22;5 fit;57;Female;Islam;Urban;Rented House or Mess;Nuclear;2;Service Holder;House Wife;Strongly-agree;2,95;1-3 hours;1-3 hours;Single;No;Regularly;yes;No;no;Agree;Agree;Never;Never;No;Never;Very Satisfied;A little;Not at all Noticeable;Not at all;Did not apply to me at all;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all
5th;20;5 feet 9 inches;75 kg;Male;Islam;Urban;Own House;Nuclear;1;Service Holder;House Wife;Strongly-agree;2,26;4-6 hours;7-9 hours;Single;No;Regularly;yes;No;I have nothing any extracurricular activities.;Strongly-agree;Strongly-agree;Never;Never;No;Never;Satisfied;A little;Very Much Noticeable;Somewhat;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
2nd;20;5 feet;47 kg;Female;Islam;Urban;Own House;Nuclear;2;Business;House Wife;Agree;3,81;4-6 hours;1-3 hours;Single;No;Offen;yes;No;Don't do any;Agree;Agree;I have had a plan at least once to kill myself but did not try to do it;Sometimes (2 times);No;No chance at all;Satisfied;A little;Not at all Noticeable;Barely;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all
2nd semester ;22;5'1;44kg;Female;Islam;Urban;Own House;Nuclear;1;Others;Others;Agree;3,5;1-3 hours;1-3 hours;Single;No;Offen;yes;No;No;Dis-agree;Agree;Never;Never;No;Never;Moderately Satisfied;A little;Not at all Noticeable;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all
5th;23;6feet;72kg;Male;Islam;Urban;Rented House or Mess;Nuclear;2;Others;House Wife;Strongly-agree;2,61;1-3 hours;1-3 hours;Single;No;Offen;No;yes;Cyber security;Agree;dis-agree;Never;Never;No;Never;Moderately Satisfied;Not at all Interfering;Barely;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all
6;19;5,2;51;Male;Islam;Rural;Own House;Nuclear;7;Business;Service Holder;Agree;3;4-6 hours;1-3 hours;Single;No;Regularly;yes;yes;Ok;Agree;Agree;Never;Never;No;Never;Very Satisfied;Not at all Interfering;Barely;Much;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
4th;23;5 feet 1 inch;55 kg;Female;Islam;Rural;Rented House or Mess;Nuclear;1;Business;House Wife;Agree;3,67;1-3 hours;1-3 hours;Single;No;Offen;yes;No;N/A;Agree;Agree;Never;Never;No;No chance at all;Moderately Satisfied;A little;Not at all Noticeable;Not at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time
4th;23;"5'9""";71;Male;Islam;Urban;Own House;Nuclear;None;Others;House Wife;Dis-agree;2,8;1-3 hours;4-6 hours;Single;No;Offen;No;No;-;Neutral;Neutral;I have attempted to kill myself, but did not want to die;Very Often (5 or more times);Yes, more than once, but did not want to do it;Never;Dissatisfied;Much;Somewhat;Somewhat;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time
6th;20;5 feet 2inches ;72;Female;Islam;Urban;Rented House or Mess;Nuclear;1;Service Holder;House Wife;Agree;3,33;1-3 hours;4-6 hours;Single;No;Regularly;No;yes;badminton  ;Agree;Agree;Never;Never;No;Never;Dissatisfied;Very Much Interfering;Somewhat;Somewhat;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all
7th;22;5,11;65;Male;Islam;Urban;Rented House or Mess;Join or Extended;2;Service Holder;Service Holder;Strongly-agree;3;7-9 hours;4-6 hours;Single;No;Regularly;yes;No;No;Strongly-agree;Strongly-agree;I have had a plan at least once to kill myself but did not try to do it;Very Often (5 or more times);No;Never;Very Satisfied;A little;Much;Not at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time
5th;20;5 feet;50;Female;Islam;Urban;Rented House or Mess;Join or Extended;2;Business;House Wife;Agree;3,44;4-6 hours;1-3 hours;Single;No;Regularly;No;yes;Nothing ;Dis-agree;dis-agree;I have had a plan at least once to kill myself but did not try to do it;Very Often (5 or more times);No;Never;Dissatisfied;Much;Not at all Noticeable;Not at all;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me very much or most of the time
8th;23;5feet 3inch;59kg;Female;Islam;Urban;Own House;Nuclear;2;Service Holder;House Wife;Strongly-agree;2,94;1-3 hours;1-3 hours;Single;No;Regularly;yes;yes;Dance;Agree;Agree;I have had a plan at least once to kill myself and really wanted to die;Often (3-4 times);No;Never;Moderately Satisfied;Much;Somewhat;Somewhat;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time
2nd;21;5 feet 2 inch;53;Female;Islam;Rural;Own House;Nuclear;3;Service Holder;House Wife;Neural;3,97;1-3 hours;1-3 hours;Single;No;Offen;yes;No;Nothing;Neutral;Agree;Never;Never;No;Never;Satisfied;Not at all Interfering;Somewhat;Not at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all
6th;23;"5'5""";58;Female;Hindu;Urban;Rented House or Mess;Nuclear;2;Business;House Wife;Strongly-agree;3;4-6 hours;1-3 hours;Single;No;Regularly;yes;No;No;Agree;Agree;I have attempted to kill myself, but did not want to die;Very Often (5 or more times);No;Never;Dissatisfied;A little;Not at all Noticeable;Very Much;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time;Applied to me very much or most of the time
4th;21;5 Feet,1.5inch;41;Female;Islam;Rural;Rented House or Mess;Nuclear;2;Business;House Wife;Strongly-agree;CGPA 3.56;1-3 hours;1-3 hours;Single;No;Regularly;No;yes;Dance;Strongly-agree;Strongly-disagree;Never;Never;No;Never;Moderately Satisfied;Somewhat;Barely;Somewhat;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me very much or most of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all
4th;22;5.4feet;52;Male;Islam;Rural;Rented House or Mess;Nuclear;4;Farmer;House Wife;Strongly-agree;3,37;1-3 hours;1-3 hours;Single;No;Regularly;yes;No;No;Agree;Neutral;Never;Never;No;No chance at all;Satisfied;A little;Somewhat;Barely;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all;Did not apply to me at all;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Did not apply to me at all
second;24;5 feet 4 inches;62;Female;Islam;Urban;Own House;Nuclear;1;Business;House Wife;Agree;3,03;4-6 hours;1-3 hours;Single;No;Regularly;No;No;nothing;Strongly-agree;Neutral;I have had a plan at least once to kill myself and really wanted to die;Often (3-4 times);No;No chance at all;Moderately Satisfied;Somewhat;Barely;Barely;Did not apply to me at all;Applied to me very much or most of the time;Applied to me very much or most of the time;Did not apply to me at all;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to some degree, or some of the time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me to some degree, or some of the time;Applied to me to a considerable degree or a good part of time;Applied to me to a considerable degree or a good part of time;Did not apply to me at all;Applied to me to a considerable degree or a good part of time;Applied to me very much or most of the time;Applied to me to a considerable degree or a good part of time
